Time Date,Product,Value
1973,Alumina,"26,400,000"
1974,Alumina,"28,500,000"
1975,Alumina,"26,100,000"
1976,Alumina,"27,200,000"
1977,Alumina,"29,700,000"
1978,Alumina,"29,800,000"
1979,Alumina,"31,400,000"
1980,Alumina,"33,400,000"
1981,Alumina,"32,100,000"
1982,Alumina,"28,000,000"
1983,Alumina,"29,300,000"
1984,Alumina,"33,700,000"
1985,Alumina,"32,200,000"
1986,Alumina,"32,800,000"
1987,Alumina,"34,900,000"
1988,Alumina,"38,900,000"
1989,Alumina,"41,500,000"
1990,Alumina,"42,600,000"
1991,Alumina,"42,300,000"
1992,Alumina,"41,100,000"
1993,Alumina,"41,700,000"
1994,Alumina,"40,800,000"
1995,Alumina,"42,300,000"
1996,Alumina,"44,000,000"
1997,Alumina,"46,000,000"
1998,Alumina,"47,500,000"
1999,Alumina,"48,900,000"
2000,Alumina,"51,700,000"
2001,Alumina,"51,600,000"
2002,Alumina,"55,000,000"
2003,Alumina,"57,900,000"
2004,Alumina,"61,700,000"
2005,Alumina,"65,000,000"
2006,Alumina,"72,300,000"
2007,Alumina,"77,700,000"
2008,Alumina,"83,000,000"
2009,Alumina,"77,200,000"
2010,Alumina,"86,000,000"
2011,Alumina,"92,100,000"
2012,Alumina,"97,100,000"
2013,Alumina,"106,000,000"
2014,Alumina,"111,000,000"
2015,Alumina,"119,000,000"
2016,Alumina,"121,000,000"
2017,Alumina,"129,000,000"
2018,Alumina,"131,000,000"
2019,Alumina,"133,000,000"
2020,Alumina,"136,000,000"
